pharmaid,atc,month,year,maxprice,ddd,inprice,generic,dddperpack,price
1341,G04CB01,4,2006,988.599975586,100506.349998,610.27331543,0,98.0,983.432882307
1341,G04CB01,5,2006,988.599975586,116405.477998,609.843322754,0,98.0,983.400825498
1341,G04CB01,6,2006,988.599975586,111602.497997,607.986633301,0,98.0,983.21829796
1341,G04CB01,7,2006,988.599975586,100569.461998,606.733337402,0,98.0,983.261102674
1341,G04CB01,8,2006,986.637145996,110531.553998,606.679992676,0,98.0,983.795974728
1341,G04CB01,9,2006,941.200012207,107562.545998,607.393310547,0,98.0,938.761299133
1341,G04CB01,10,2006,941.200012207,115864.615997,619.756652832,0,98.0,938.4087677
1341,G04CB01,11,2006,941.200012207,121492.461998,622.006652832,0,98.0,938.905788421
1341,G04CB01,12,2006,941.200012207,140017.597998,624.429992676,0,98.0,938.755224228
1341,G04CB01,1,2007,941.200012207,85135.5399981,589.803344727,0,98.0,938.756065369
1341,G04CB01,2,2007,941.200012207,91518.5739975,624.696655273,0,98.0,938.736906052
1341,G04CB01,3,2007,941.200012207,105854.503998,623.906677246,0,98.0,938.559892654
1341,G04CB01,4,2007,941.200012207,77715.6659975,623.906677246,0,98.0,938.922330856
1341,G04CB01,5,2007,941.200012207,85988.4339972,623.906677246,0,98.0,939.156354904
1341,G04CB01,6,2007,941.200012207,77141.6799974,623.906677246,0,98.0,939.440380096
1341,G04CB01,7,2007,941.200012207,63867.579998,623.906677246,0,98.0,913.46913147
1341,G04CB01,8,2007,928.92175293,53886.7699966,623.906677246,0,98.0,887.829946518
1341,G04CB01,9,2007,658.799987793,64695.6799974,500.35333252,0,98.0,660.670354843
1341,G04CB01,10,2007,658.799987793,28639.6179981,500.350006104,0,98.0,659.647340775
1341,G04CB01,11,2007,658.799987793,9310.0,427.0,0,98.0,656.299974442
1341,G04CB01,12,2007,658.799987793,5164.59999847,427.0,0,98.0,547.809453964
1878,S01EC04,5,2004,344.200012207,74150.0250015,222.479995728,0,75.0,344.19311285
1878,S01EC04,6,2004,344.200012207,86025.0,222.479995728,0,75.0,344.191896916
1878,S01EC04,7,2004,344.200012207,76400.0250015,222.479995728,0,75.0,344.194364548
1878,S01EC04,8,2004,344.200012207,83300.0250015,222.479995728,0,75.0,344.192504883
1878,S01EC04,9,2004,344.200012207,85224.9750004,222.479995728,0,75.0,344.19400692
1878,S01EC04,10,2004,344.200012207,90899.9250011,222.479995728,0,75.0,344.193255901
1878,S01EC04,11,2004,344.200012207,92400.0,222.479995728,0,75.0,344.193613529
1878,S01EC04,12,2004,344.200012207,125700.0,222.479995728,0,75.0,344.194543362
1878,S01EC04,1,2005,346.921417236,61074.9750004,222.479995728,0,75.0,346.964263916
1878,S01EC04,2,2005,347.0,75000.0,222.479995728,0,75.0,346.99999094
1878,S01EC04,3,2005,347.0,87647.4750004,222.479995728,0,75.0,346.99999094
1878,S01EC04,4,2005,347.0,89624.7750015,222.479995728,0,75.0,346.99999094
1878,S01EC04,5,2005,346.715026855,90174.2250004,220.60333252,0,75.0,346.988010406
1878,S01EC04,6,2005,339.200012207,99324.9750004,216.86000061,0,75.0,339.286279679
1878,S01EC04,7,2005,339.200012207,85474.9499989,216.86000061,0,75.0,339.192438125
1878,S01EC04,8,2005,339.200012207,97074.9750004,216.86000061,0,75.0,339.184212685
1878,S01EC04,9,2005,339.200012207,99375.0,216.86000061,0,75.0,339.189004898
1878,S01EC04,10,2005,339.200012207,93150.0,216.86000061,0,75.0,339.196693897
1878,S01EC04,11,2005,339.200012207,103374.975,216.86000061,0,75.0,339.194941521
1878,S01EC04,12,2005,339.200012207,128949.975,216.86000061,0,75.0,339.193761349
1878,S01EC04,1,2006,339.200012207,73350.0,216.86000061,0,75.0,339.194619655
1878,S01EC04,2,2006,339.200012207,81225.0,216.86000061,0,75.0,339.195334911
1878,S01EC04,3,2006,339.200012207,102375.000002,216.86000061,0,75.0,339.196121693
1878,S01EC04,4,2006,339.200012207,95649.9000034,216.86000061,0,75.0,339.196622371
1878,S01EC04,5,2006,339.200012207,104574.975,216.86000061,0,75.0,339.195406437
1878,S01EC04,6,2006,339.200012207,113700.0,216.86000061,0,75.0,339.197123051
1878,S01EC04,7,2006,339.200012207,98475.0,216.86000061,0,75.0,339.195978641
1878,S01EC04,8,2006,339.200012207,114424.950001,216.86000061,0,75.0,339.196300507
1878,S01EC04,9,2006,339.200012207,110825.025,216.86000061,0,75.0,339.196407795
1878,S01EC04,10,2006,339.200012207,112050.0,216.86000061,0,75.0,339.196193219
1878,S01EC04,11,2006,339.200012207,122250.0,216.86000061,0,75.0,339.195942879
1878,S01EC04,12,2006,339.200012207,145350.0,216.86000061,0,75.0,339.196515083
1878,S01EC04,1,2007,339.200012207,84799.9500008,216.86000061,0,75.0,339.196658134
1878,S01EC04,2,2007,339.200012207,94800.0,218.080001831,0,75.0,339.196085929
1878,S01EC04,3,2007,339.200012207,118125.0,218.266662598,0,75.0,339.196121693
1878,S01EC04,4,2007,339.200012207,105900.0,218.266662598,0,75.0,339.195942879
1878,S01EC04,5,2007,339.200012207,117399.975,218.266662598,0,75.0,339.196300507
1878,S01EC04,6,2007,339.200012207,117574.950001,218.266662598,0,75.0,339.195299149
1878,S01EC04,7,2007,339.200012207,110799.975,218.266662598,0,75.0,339.196515083
1878,S01EC04,8,2007,339.200012207,119949.975,218.266662598,0,75.0,339.196300507
1878,S01EC04,9,2007,339.200012207,111050.025002,218.266662598,0,75.0,339.196014404
1878,S01EC04,10,2007,339.200012207,123450.0,218.266662598,0,75.0,339.196586609
1878,S01EC04,11,2007,339.200012207,127700.025002,218.273330688,0,75.0,339.195799828
1878,S01EC04,12,2007,339.200012207,149149.950001,218.273330688,0,75.0,339.19583559
